Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Condomínio,IPTU,Data Coleta,Educação,Entretenimento,Financeiro,Saúde,Alimentação,Transporte,Others
Apartamento com playground e salão de festas em Madalena,3000000,Residencial,Rua Clóvis Beviláqua,Madalena,50710330,-8.0479269,-34.9052844,Imobiliária,3,1,93,95,5,1780,,2017-04-09 23:26:27.383191,2.900952201813453,0.6989537401843074,0.3649679035442948,2.9615596232891748,7.726512063755402,26.351636363801585,
Apartamento com piscina e salão de festas em Iputinga,3000000,Residencial,Rua Inacio Leopoldo,Iputinga,50670490,-8.0471494,-34.9437295,Imobiliária,3,1,71,,5,1776,,2017-04-09 23:30:21.619404,0.3434642604034618,0.1818324696482008,1.723701362929507,0.7779808963680233,5.410245727844693,26.449013504445777,
Apartamento com piscina e churrasqueira em Casa Amarela,3000000,Residencial,Rua Raimundo Freixeiras,Casa Amarela,52070020,-8.0060029,-34.9278606,Imobiliária,4,2,158,,5,1750,,2017-04-09 23:30:21.878603,0,0,0,0,0,31.6272155700306,
Apartamento com salão de festas em Campo Grande,3000000,Residencial,Rua Oliveira Fonseca,Campo Grande,52040250,-8.0281512,-34.8799334,Imobiliária,3,0,67,,5,1750,,2017-04-09 23:30:21.885652,0,0,0,0,0,23.500269347581394,
Apartamento com piscina e churrasqueira em Tamarineira,3000000,Residencial,"Estrada Arraial,Do",Tamarineira,52051380,-8.0267907,-34.914241,Imobiliária,4,2,172,,5,1750,,2017-04-09 23:30:21.896960,0.22705785567876569,1.2284682085631002,1.386952636388502,2.846235380304539,4.483039019786847,40.68286470968661,
Apartamento  em Boa Viagem,3000000,Residencial,Avenida Engenheiro Domingos Ferreira,Boa Viagem,51020040,-8.1201003,-34.8985946,Imobiliária,4,3,282,400,5,1750,,2017-04-09 23:30:22.004745,0.7456650177439329,1.0822540810002699,0.41803677300537345,0.9609949147855514,0.9760679189067836,31.204817511456753,
Apartamento com piscina e campo de futebol em Tamarineira,2995000,Residencial,Rua Joseph Turton,Tamarineira,52051110,-8.028689,-34.9035119,Imobiliária,4,3,205,,5,1750,,2017-04-09 23:30:22.014997,1.1472455218230537,0.5998073436310418,0,2.314844570137682,1.8263944394135847,29.095086890711237,
Apartamento com salão de festas em Sto Amaro,2950000,Residencial,Conde D'eu,Sto Amaro,50050470,-8.0522105,-34.8897751,Imobiliária,2,0,65,80,5,1750,,2017-04-09 23:30:22.141634,1.223302982835917,0.37906973201778693,0,0.8009295769299845,2.378535715374621,32.39431695709522,
Apartamento com piscina e churrasqueira em Santana,2950000,Residencial,Rua Nestor Silva,Santana,52060410,-8.0376283,-34.9139982,Imobiliária,1,1,43,43,5,1750,,2017-04-09 23:30:22.251592,0.42215378195363984,0.20909491841316127,0.751652227811179,0.36757947415226755,3.66887611108931,21.847705906311898,
Apartamento  em Iputinga,2950000,Residencial,Rua Doutor Virgínio Marques,Iputinga,50731330,-8.0385236,-34.936764,Imobiliária,3,0,92,92,5,1750,,2017-04-09 23:30:22.261014,1.1076305832897542,1.3059974472848834,1.0657823650525837,0.8911581491852274,0.8777448367932608,30.110532629509763,
Apartamento com estacionamento visitantes e playground em Cordeiro,2900000,Residencial,Rua Orós,Cordeiro,50711340,-8.0467399,-34.9231739,Imobiliária,3,1,68,107,5,1720,,2017-04-09 23:30:22.319299,0.8846581334081548,1.239835811892982,0,0,0.5590809476322519,21.969103845562604,
Apartamento com salão de festas em Boa Viagem,2900000,Residencial,Avenida Conselheiro Aguiar,Boa Viagem,51020020,-8.1125147,-34.8923077,Imobiliária,4,2,300,,5,1700,,2017-04-09 23:30:22.810254,0.11687497230434837,0.8130144274145346,0.489829211963246,1.6956029425456025,1.1391865997401562,12.845788264654267,
Apartamento com quadra poliesportiva e salão de festas em Casa Forte,2900000,Residencial,Avenida Flor de Santana,Casa Forte,52060290,-8.0335743,-34.9138348,Imobiliária,5,2,270,,5,1700,,2017-04-09 23:30:22.826427,0.1734214871109748,0.6562101054285788,1.0833419692889128,0.9523277501058605,6.598416377616655,29.81146786379367,
Apartamento com piscina e playground em Boa Viagem,2900000,Residencial,Rua Dom Jose Lopes,Boa Viagem,51021370,-8.1262599,-34.9047371,Imobiliária,3,1,137,,5,1700,,2017-04-09 23:30:22.833063,1.3600523239083557,2.6561521589895096,0.6637963525829926,0.5776046944965179,6.866385363500949,28.541158523419366,
Apartamento com piscina e playground em Boa Viagem,2900000,Residencial,,Boa Viagem,,-8.1317303,-34.902409,Imobiliária,3,1,96,,5,1700,,2017-04-09 23:30:23.042172,0.9193919325395519,2.7277221187205676,1.7557455211133517,0.19977050891125578,5.951394224198563,33.02743898273221,
Apartamento com churrasqueira em Boa Viagem,2800000,Residencial,Rua Baltazar Passos,Boa Viagem,51130290,-8.143057,-34.9090092,Imobiliária,3,1,106,106,5,1700,,2017-04-09 23:30:23.196999,0.5419995220672987,1.0051956135770816,0,0,2.14354274920806,14.632050628991326,
Apartamento  em Poco da Panela,2800000,Residencial,Rua Tito Lívio Soares,Poco da Panela,52061270,-8.0376237,-34.9237844,Imobiliária,3,0,87,87,5,1700,,2017-04-09 23:30:23.339539,0,0,0,0.02029401444093537,1.40609443536992,13.129017796784996,
Apartamento com piscina e churrasqueira em Gracas,2800000,Residencial,Rua Engenheiro Teófilo de Freitas,Gracas,52010190,-8.0538002,-34.9023159,Imobiliária,4,1,130,,5,1700,,2017-04-09 23:30:23.422082,4.462375519548376,1.216268257416298,0.6798476377702802,4.370193864567017,8.682566288195593,36.349673981761256,
Apartamento  em Boa Viagem,2800000,Residencial,,Boa Viagem,51020972,-8.1083154,-34.8982775,Imobiliária,1,1,33,,5,1700,,2017-04-09 23:30:23.520002,0,0.26214170267500037,0.03962085888838851,0.6802260926930892,0.8058665547420711,4.620270894298136,
Apartamento com piscina e salão de festas em Torre,2800000,Residencial,Rua José de Holanda,Torre,50710140,-8.04481,-34.909449,Imobiliária,3,0,80,80,5,1700,,2017-04-09 23:30:23.568417,1.924044447980515,0.4314895029551784,0.004799854496483818,0.802066837336019,3.614853590861921,18.38422055220366,
Apartamento  em Rosarinho,2800000,Residencial,Rua Gal Artur Oscar,Rosarinho,52050430,-8.0616733,-34.9093876,Imobiliária,3,1,90,,5,1700,,2017-04-09 23:30:25.072434,1.7024835488552565,0.43981965165291637,0.679651849468391,1.644621608112935,7.329014204827155,38.41524429944637,
Apartamento com piscina e churrasqueira em Boa Viagem,2800000,Residencial,Rua Izabel Magalhaes,Boa Viagem,51030330,-8.1389661,-34.9062776,Imobiliária,2,1,45,,5,1700,,2017-04-09 23:30:23.843725,0.6997394052366628,2.1508722332452583,0,0,1.65953462273826,18.100778557040307,
Apartamento com piscina e salão de festas em Torre,2800000,Residencial,Rua Conde de Iraja,Torre,50710310,-8.0456622,-34.9047422,Imobiliária,3,2,90,90,5,1700,,2017-04-09 23:30:23.948300,2.2703416185605545,0.42572046446015965,0.17539025926174087,1.6027760426723638,6.350760782124018,25.28371471929822,
Apartamento com piscina e churrasqueira em Madalena,2800000,Residencial,Rua Monsenhor Silva,Madalena,50610360,-8.0510137,-34.9113946,Imobiliária,4,4,153,153,5,1660,,2017-04-09 23:30:24.088626,1.7003024084742089,0.9599412200980149,0.49392304081171384,2.514523645034435,5.894743649224838,26.211403828555238,
