Titulo,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Area Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento com frente para o mar em Boa Viagem,360000,Residencial,Avenida Boa Viagem,Boa Viagem,51030000,-8.1250089,-34.8974971,Imobiliária,3,1,90,,1,,,2017-04-08 22:43:49.922092,0.20005580864534442,1.5413395832762542,0.36396573722557723,0.6657640324495431,3.4197667896947475,27.043737479583292,0.5934328741676481
Apartamento com playground e sala de ginástica em Tamarineira,380000,Residencial,Rua São Vicente,Tamarineira,52051160,-8.027619,-34.9055794,Imobiliária,3,1,62,62,1,500,,2017-04-08 22:43:49.962895,1.1336817879223409,0.8932468079324014,0,2.1898150711542437,1.8962014557161724,28.979185201345665,0
Apartamento com piscina e sauna em Jaqueira,400000,Residencial,Avenida Parnamirim,Jaqueira,52060000,-8.0334804,-34.9104243,Imobiliária,2,0,69,,1,590,110,2017-04-08 22:43:50.018840,0.5002676859960289,0.5562949766396931,0.6299123609061905,2.0002866103243524,5.348740748905237,26.91264847361464,0.6774832975756071
Apartamento com estacionamento visitantes em Boa Viagem,550000,Residencial,Avenida Conselheiro Aguiar,Boa Viagem,51020021,-8.1185721,-34.8959562,Pessoa Física,4,1,188,188,3,400,,2017-04-08 22:43:50.030206,0.7289884260092868,0.5741906943570794,0.7263962975986026,0.9413340770055472,0.6525404914449843,26.297726655083267,0
Apartamento  em Cordeiro,295000,Residencial,Rua Eurico de Souza Leao,Cordeiro,50721100,-8.0492426,-34.9315404,Pessoa Física,3,1,70,,1,220,,2017-04-08 22:43:50.040113,0.5996482871361544,0.7315321558089802,0,0,1.4047134448104597,26.758733941828073,0.7846497966951602
Apartamento com playground e quadra poliesportiva em Torre,215000,Residencial,Rua José Bonifácio,Torre,50710001,-8.0395071,-34.9090258,Imobiliária,2,0,56,56,1,260,,2017-04-08 22:43:50.047800,1.135845424516765,0,0.4427143418161983,1.1200428701035166,2.0637529616544654,19.6831891346331,0.5806086404750643
Apartamento com piscina e churrasqueira em Madalena,575000,Residencial,Rua Galvao Raposo,Madalena,50610330,-8.0497175,-34.9101192,Imobiliária,4,3,120,,3,,,2017-04-08 22:43:50.517214,2.0300798317622797,1.0099131198308893,0.4559527300140106,2.6554569544729376,6.546996618630656,24.605762096363758,0.9202577592461391
Apartamento com piscina e playground em Poco da Panela,650000,Residencial,Rua Eng Jair Furtado Meirelles,Poco da Panela,52061360,-8.0409726,-34.9200263,Imobiliária,3,2,108,,2,,,2017-04-08 22:43:50.542095,0.030656496232707695,0.004356786067795952,0.02571352802052809,0,1.1398317617631877,13.915774507839423,0.32147682249077214
Apartamento  em Boa Viagem,350000,Residencial,Rua Jose Trajano,Boa Viagem,51020320,-8.1207685471,-34.8991279602,Pessoa Física,3,1,120,139,1,530,104,2017-04-08 22:43:50.667188,0.661259993624306,1.2133741799340698,0.3240038596506009,0.9600555226228192,1.4321992399074697,31.855094189141806,0
Apartamento  em Torre,350000,Residencial,Rua Conde de Irajá,Torre,50710310,-8.0462257,-34.9088014,Imobiliária,2,1,56,,1,410,115,2017-04-08 22:43:50.706887,2.0746058021847182,0.6005067835603386,0.17482129761029216,1.4666182844014595,4.8427470665359005,20.907699755103746,0.4463249300971732
