Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento com piscina e churrasqueira em Torre,340000,Residencial,Rua Pio LX,Torre,50710260,-8.044832,-34.9108744,Imobiliária,3,1,63,63,1,4000,,2017-04-08 22:44:01.926177,,,,,,,
Apartamento com campo de futebol e playground em Torre,385000,Residencial,Rua Vitoriano Palhares,Torre,50710190,-8.0438197,-34.9103629,Imobiliária,3,1,75,,1,3900,,2017-04-08 22:44:01.999987,,,,,,,
Apartamento com piscina e churrasqueira em Casa Forte,1390000,Residencial,Estrada das Ubáias,Casa Forte,52061080,,,Imobiliária,4,3,180,,3,3518,,2017-04-08 22:44:02.043245,,,,,,,
Apartamento com salão de festas em Encruzilhada,490000,Residencial,Rua Domingos Bastos,Encruzilhada,52030020,-8.0366417,-34.8899536,Imobiliária,3,1,200,200,1,3400,,2017-04-08 22:44:02.113211,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,470000,Residencial,Avenida Caxangá,Madalena,50800000,-8.043667,-34.9334778,Imobiliária,3,1,78,,2,3400,135,2017-04-08 22:44:02.361982,,,,,,,
Apartamento com piscina em Encruzilhada,255000,Residencial,,Encruzilhada,,,,Imobiliária,2,1,45,45,1,3365,,2017-04-09 23:46:18.739819,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,750000,Residencial,Rua Dhalia,Boa Viagem,51020290,-8.1193605,-34.8976865,Imobiliária,3,1,108,,2,3300,,2017-04-08 22:44:02.537204,,,,,,,
Apartamento com piscina e copa em Espinheiro,450000,Residencial,Rua Marquês do Paraná,Espinheiro,52021050,-8.0409293,-34.8882807,Imobiliária,3,2,80,,2,3206,115,2017-04-08 22:44:02.762242,,,,,,,
Apartamento com churrasqueira e playground em Boa Viagem,680000,Residencial,Rua Cônego Romeu,Boa Viagem,51030340,,,Imobiliária,3,1,103,103,2,3200,,2017-04-08 22:44:02.786386,,,,,,,
Apartamento com piscina e copa em Boa Viagem,259000,Residencial,Rua Jose Hipolito Cardoso,Boa Viagem,51030060,-8.1423048,-34.9096799,Imobiliária,2,1,75,87,1,3200,1000,2017-04-08 22:44:02.871414,,,,,,,
Apartamento  em Casa Forte,395000,Residencial,Avenida Dezessete de Agosto,Casa Forte,52060590,-8.0355314,-34.9204345,Imobiliária,3,1,104,104,1,3000,,2017-04-08 22:44:02.890881,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,549000,Residencial,Rua Monsenhor Silva,Madalena,50610360,-8.0511604,-34.9113967,Imobiliária,3,1,90,90,2,3000,,2017-04-08 22:44:02.958442,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,600000,Residencial,Rua José Paraíso,Boa Viagem,51030390,-8.1347231,-34.9046341,Imobiliária,3,1,93,93,2,3000,,2017-04-08 22:44:02.965297,,,,,,,
Apartamento  em Ipsep,200000,Residencial,Avenida Recife,Ipsep,51350670,-8.1187555,-34.9214115,Imobiliária,3,0,67,67,1,2946,,2017-04-08 22:44:02.982377,,,,,,,
Apartamento com piscina e churrasqueira em Rosarinho,250000,Residencial,Rua Regueira Costa,Rosarinho,52041050,-8.032931,-34.8982925,Imobiliária,1,0,33,33,1,2800,,2017-04-09 23:25:23.327484,,,,,,,
Conjunto Comercial/Sala  em Pina,1500,Comercial,Avenida República do Líbano,Pina,51110160,-8.0878136,-34.8912371,Imobiliária,0,0,30,30,0,2800,,2017-04-09 23:30:24.287419,,,,,,,
Apartamento com churrasqueira e copa em Aflitos,550000,Residencial,Avenida Conselheiro Rosa e Silva,Aflitos,52020220,-8.0436765,-34.8972521,Imobiliária,4,1,180,180,1,2800,,2017-04-08 22:44:03.480292,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,380000,Residencial,Rua General Americano Freire,Boa Viagem,51021120,-8.1272584,-34.9060626,Imobiliária,3,1,60,60,1,2800,,2017-04-08 22:44:03.491771,,,,,,,
Apartamento com piscina e churrasqueira em Campo Grande,368782.13,Residencial,Rua Voluntários da Pátria,Campo Grande,52040150,-8.0307761796,-34.8829882937,Imobiliária,3,1,63,,1,2800,,2017-04-08 22:44:03.558239,,,,,,,
Apartamento com piscina e churrasqueira em Rosarinho,405000,Residencial,Rua José Alexandre Caçador,Rosarinho,52041360,-8.030092,-34.8945104,Imobiliária,3,1,61,61,1,2700,,2017-04-08 22:44:03.587675,,,,,,,
Apartamento com piscina e salão de festas em Madalena,420000,Residencial,Rua Demócrito de Souza Filho,Madalena,50610120,-8.0552043,-34.9056459,Imobiliária,3,1,72,72,1,2694,,2017-04-08 22:44:03.676579,,,,,,,
Apartamento com piscina e playground em Espinheiro,420000,Residencial,Rua do Espinheiro,Espinheiro,52020020,-8.0440221,-34.8938212,Imobiliária,3,1,72,,1,2600,,2017-04-08 22:44:03.780421,,,,,,,
Apartamento com sauna e copa em Boa Viagem,492562,Residencial,Rua Maria Carolina,Boa Viagem,51020220,-8.11312,-34.899206,Imobiliária,1,1,53,53,1,2600,,2017-04-08 22:44:04.380502,,,,,,,
Apartamento com piscina e churrasqueira em Casa Amarela,415000,Residencial,Rua Bento Loyola,Casa Amarela,52051340,-8.0275116,-34.9127129,Imobiliária,3,1,72,72,1,2600,,2017-04-09 23:25:23.353508,,,,,,,
