Preco,Quartos,Suítes,Área Útil (m2),Vagas,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
360000,3,1,90,1,0.20005580864534442,1.5413395832762542,0.36396573722557723,0.6657640324495431,3.4197667896947475,27.043737479583292,0.5934328741676481
380000,3,1,62,1,1.1336817879223409,0.8932468079324014,0,2.1898150711542437,1.8962014557161724,28.979185201345665,0
400000,2,0,69,1,0.5002676859960289,0.5562949766396931,0.6299123609061905,2.0002866103243524,5.348740748905237,26.91264847361464,0.6774832975756071
550000,4,1,188,3,0.7289884260092868,0.5741906943570794,0.7263962975986026,0.9413340770055472,0.6525404914449843,26.297726655083267,0
295000,3,1,70,1,0.5996482871361544,0.7315321558089802,0,0,1.4047134448104597,26.758733941828073,0.7846497966951602
215000,2,0,56,1,1.135845424516765,0,0.4427143418161983,1.1200428701035166,2.0637529616544654,19.6831891346331,0.5806086404750643
575000,4,3,120,3,2.0300798317622797,1.0099131198308893,0.4559527300140106,2.6554569544729376,6.546996618630656,24.605762096363758,0.9202577592461391
650000,3,2,108,2,0.030656496232707695,0.004356786067795952,0.02571352802052809,0,1.1398317617631877,13.915774507839423,0.32147682249077214
350000,3,1,120,1,0.661259993624306,1.2133741799340698,0.3240038596506009,0.9600555226228192,1.4321992399074697,31.855094189141806,0
350000,2,1,56,1,2.0746058021847182,0.6005067835603386,0.17482129761029216,1.4666182844014595,4.8427470665359005,20.907699755103746,0.4463249300971732
420000,3,1,139,1,3.106948521216829,0.4570912159067343,0.8385268317363745,3.8270409168540156,4.153917006219135,23.116940452572706,0.7605252467134909
320000,2,1,57,1,0,0,0,0,0,0,0
310000,3,1,61,1,1.369203509375393,0.5234085348114882,0.653341453577556,1.717846681327138,7.258481906372872,40.11167951774719,1.3257512573766277
296000,1,1,37,1,0.5907474859951637,0.6877148983426726,0.8759473032249948,1.4713895520536713,7.334487274472682,36.29785277369286,1.4781975537784737
270000,3,1,150,1,0,0,0,0,0,0,0
245000,2,1,55,1,0.309342384640598,1.6576786666913548,0.007162204103499334,0,0.7968550707634304,78.30666279687068,2.739675023516903
135000,3,1,70,3,0,0,0,0,0,0,0
390000,4,1,94,2,0.7151788015696161,2.198463304479761,0.016920734585151764,0.8133437490493749,3.558891487356266,30.184236298466903,0.48897372609732676
150000,2,0,55,1,0,0.033380753459857145,0,0,0.6280026547384803,24.141564380683956,0.11295786973408235
